sector,PCA1,PCA2
Barri Vell,3.3507169776081382,-1.795740526611074
Carme,1.2971516646063,-0.1712269200696236
Domeny Nord,-2.3519575011324294,-0.7295464473855936
Domeny Sud,-1.4913243959856408,0.0570739893142677
Eixample Nord,1.8782503592293691,0.8120241743123138
Eixample Sud,-1.20672051529401,-1.2949746195995357
Fontajau,-1.8704002781317919,1.0401095939633809
Mercadal,3.1594987439271343,0.5944925194514582
Montilivi,-0.2489862694266759,-0.1552521040325961
Montjuïc,0.05357365656760304,3.6863927151060394
Palau,-0.4910208410211534,2.4568439169935714
Pedret,1.010033248217717,-1.873196656472465
Sant Narcís,0.9637777438606738,0.10213486453943832
Santa Eugènia,-1.3478406446183286,-2.2331739369594805
Taialà,-2.704751948406908,-0.49596056255009935
