barri_oficial,sector_oficial,predicted_price
Centre,Carme,1477.8362028376089
Eixample,Eixample Nord,1455.102789233272
Centre,Barri Vell,1445.057066434057
Oest,Fontajau,1438.874719757749
Sud,Montilivi,1450.314253854737
Eixample,Eixample Sud,1445.057066434057
Nord,Pedret,1450.2170087597976
Centre,Mercadal,1402.4735367476599
Montjuïc,Montjuïc,1433.2486269350034
Oest,Taialà,1465.9337640897334
Eixample,Sant Narcís,1446.1661166970366
Oest,Domeny Sud,1447.053944785228
Sud,Palau,1443.6966008266902
Oest,Domeny Nord,1445.057066434057
Santa Eugènia de Ter,Santa Eugènia,1441.207125882191
